"PERIOD";"COMPONENT";"VALUE";"UNIT_MEASURE"
2020;"Total";725743;"n"
2020;"Total";100;"%"
2020;"ALV";316085;"n"
2020;"ALV";43.5533;"%"
2020;"SH";158807;"n"
2020;"SH";21.882;"%"
2020;"IV";220031;"n"
2020;"IV";30.318;"%"
2020;"ALV_SH";17811;"n"
2020;"ALV_SH";2.4542;"%"
2020;"ALV_IV";3326;"n"
2020;"ALV_IV";0.4583;"%"
2020;"SH_IV";9470;"n"
2020;"SH_IV";1.3049;"%"
2020;"ALV_SH_IV";213;"n"
2020;"ALV_SH_IV";0.0293;"%"
2019;"Total";682736;"n"
2019;"Total";100;"%"
2019;"ALV";273153;"n"
2019;"ALV";40.0086;"%"
2019;"SH";157280;"n"
2019;"SH";23.0367;"%"
2019;"IV";219989;"n"
2019;"IV";32.2217;"%"
2019;"ALV_SH";19594;"n"
2019;"ALV_SH";2.8699;"%"
2019;"ALV_IV";3133;"n"
2019;"ALV_IV";0.4589;"%"
2019;"SH_IV";9323;"n"
2019;"SH_IV";1.3655;"%"
2019;"ALV_SH_IV";264;"n"
2019;"ALV_SH_IV";0.0387;"%"
2018;"Total";697789;"n"
2018;"Total";100;"%"
2018;"ALV";285730;"n"
2018;"ALV";40.9479;"%"
2018;"SH";157570;"n"
2018;"SH";22.5813;"%"
2018;"IV";220695;"n"
2018;"IV";31.6278;"%"
2018;"ALV_SH";21293;"n"
2018;"ALV_SH";3.0515;"%"
2018;"ALV_IV";3253;"n"
2018;"ALV_IV";0.4662;"%"
2018;"SH_IV";8987;"n"
2018;"SH_IV";1.2879;"%"
2018;"ALV_SH_IV";261;"n"
2018;"ALV_SH_IV";0.0374;"%"
2017;"Total";718635;"n"
2017;"Total";100;"%"
2017;"ALV";301245;"n"
2017;"ALV";41.9191;"%"
2017;"SH";160000;"n"
2017;"SH";22.2644;"%"
2017;"IV";221855;"n"
2017;"IV";30.8717;"%"
2017;"ALV_SH";23301;"n"
2017;"ALV_SH";3.2424;"%"
2017;"ALV_IV";3230;"n"
2017;"ALV_IV";0.4495;"%"
2017;"SH_IV";8755;"n"
2017;"SH_IV";1.2183;"%"
2017;"ALV_SH_IV";249;"n"
2017;"ALV_SH_IV";0.0346;"%"
2016;"Total";717583;"n"
2016;"Total";100;"%"
2016;"ALV";301405;"n"
2016;"ALV";42.0028;"%"
2016;"SH";155825;"n"
2016;"SH";21.7153;"%"
2016;"IV";223691;"n"
2016;"IV";31.1728;"%"
2016;"ALV_SH";24443;"n"
2016;"ALV_SH";3.4063;"%"
2016;"ALV_IV";3244;"n"
2016;"ALV_IV";0.4521;"%"
2016;"SH_IV";8705;"n"
2016;"SH_IV";1.2131;"%"
2016;"ALV_SH_IV";270;"n"
2016;"ALV_SH_IV";0.0376;"%"
2015;"Total";699932;"n"
2015;"Total";100;"%"
2015;"ALV";286925;"n"
2015;"ALV";40.9933;"%"
2015;"SH";150083;"n"
2015;"SH";21.4425;"%"
2015;"IV";226928;"n"
2015;"IV";32.4214;"%"
2015;"ALV_SH";23969;"n"
2015;"ALV_SH";3.4245;"%"
2015;"ALV_IV";3167;"n"
2015;"ALV_IV";0.4525;"%"
2015;"SH_IV";8595;"n"
2015;"SH_IV";1.228;"%"
2015;"ALV_SH_IV";265;"n"
2015;"ALV_SH_IV";0.0379;"%"
2014;"Total";686397;"n"
2014;"Total";100;"%"
2014;"ALV";272928;"n"
2014;"ALV";39.7624;"%"
2014;"SH";146890;"n"
2014;"SH";21.4002;"%"
2014;"IV";230249;"n"
2014;"IV";33.5446;"%"
2014;"ALV_SH";24054;"n"
2014;"ALV_SH";3.5044;"%"
2014;"ALV_IV";3257;"n"
2014;"ALV_IV";0.4745;"%"
2014;"SH_IV";8754;"n"
2014;"SH_IV";1.2754;"%"
2014;"ALV_SH_IV";265;"n"
2014;"ALV_SH_IV";0.0386;"%"
2013;"Total";679352;"n"
2013;"Total";100;"%"
2013;"ALV";266246;"n"
2013;"ALV";39.1912;"%"
2013;"SH";141887;"n"
2013;"SH";20.8856;"%"
2013;"IV";234677;"n"
2013;"IV";34.5442;"%"
2013;"ALV_SH";24199;"n"
2013;"ALV_SH";3.5621;"%"
2013;"ALV_IV";3324;"n"
2013;"ALV_IV";0.4893;"%"
2013;"SH_IV";8741;"n"
2013;"SH_IV";1.2867;"%"
2013;"ALV_SH_IV";278;"n"
2013;"ALV_SH_IV";0.0409;"%"
2012;"Total";659712;"n"
2012;"Total";100;"%"
2012;"ALV";249191;"n"
2012;"ALV";37.7727;"%"
2012;"SH";135248;"n"
2012;"SH";20.5011;"%"
2012;"IV";238367;"n"
2012;"IV";36.132;"%"
2012;"ALV_SH";23885;"n"
2012;"ALV_SH";3.6205;"%"
2012;"ALV_IV";3553;"n"
2012;"ALV_IV";0.5386;"%"
2012;"SH_IV";9144;"n"
2012;"SH_IV";1.3861;"%"
2012;"ALV_SH_IV";324;"n"
2012;"ALV_SH_IV";0.0491;"%"
2011;"Total";655231;"n"
2011;"Total";100;"%"
2011;"ALV";253426;"n"
2011;"ALV";38.6774;"%"
2011;"SH";118791;"n"
2011;"SH";18.1296;"%"
2011;"IV";240909;"n"
2011;"IV";36.767;"%"
2011;"ALV_SH";28197;"n"
2011;"ALV_SH";4.3034;"%"
2011;"ALV_IV";4203;"n"
2011;"ALV_IV";0.6415;"%"
2011;"SH_IV";9242;"n"
2011;"SH_IV";1.4105;"%"
2011;"ALV_SH_IV";463;"n"
2011;"ALV_SH_IV";0.0707;"%"
2010;"Total";684030;"n"
2010;"Total";100;"%"
2010;"ALV";288577;"n"
2010;"ALV";42.1878;"%"
2010;"SH";111109;"n"
2010;"SH";16.2433;"%"
2010;"IV";243786;"n"
2010;"IV";35.6397;"%"
2010;"ALV_SH";26647;"n"
2010;"ALV_SH";3.8956;"%"
2010;"ALV_IV";4512;"n"
2010;"ALV_IV";0.6596;"%"
2010;"SH_IV";8985;"n"
2010;"SH_IV";1.3135;"%"
2010;"ALV_SH_IV";414;"n"
2010;"ALV_SH_IV";0.0605;"%"

